port_a,port_b,lag,corr,pval,pval_corrected
Antwerp,Kobe,7,0.0346,0.0784,0.48579199999999995
Antwerp,Kobe,8,0.0229,0.2449,0.7124325505188421
Antwerp,Kobe,9,-0.0415,0.0348,0.3594873786407767
Antwerp,Kobe,10,-0.0181,0.3566,0.7939812168231931
Antwerp,Kobe,11,-0.0123,0.5313,0.8859442181134439
Antwerp,Kobe,12,-0.0299,0.1287,0.57057
Antwerp,Kobe,13,0.0286,0.1466,0.5994711760184473
Antwerp,Kobe,14,-0.0007,0.9713,0.9929644572526417
Antwerp,Mizushima,1,0.0039,0.8419,0.9751595906814718
Antwerp,Mizushima,2,-0.0261,0.1836,0.6573028263795424
Antwerp,Mizushima,3,-0.0202,0.3052,0.7643275294117647
Antwerp,Mizushima,4,-0.0262,0.1828,0.6562051282051281
Antwerp,Mizushima,5,-0.0138,0.4816,0.8590828025477707
Antwerp,Mizushima,6,0.0287,0.1438,0.5948313908313908
Antwerp,Mizushima,7,0.0227,0.2488,0.7151710739341608
Antwerp,Mizushima,8,-0.0075,0.7023,0.9309337319382163
Antwerp,Mizushima,9,-0.0196,0.3187,0.774193607305936
Antwerp,Mizushima,10,-0.0015,0.9376,0.989144669044788
Antwerp,Mizushima,11,-0.0257,0.1914,0.6637861799217731
Antwerp,Mizushima,12,-0.0257,0.191,0.6636969301110386
Antwerp,Mizushima,13,-0.0197,0.3162,0.7708273018781494
Antwerp,Mizushima,14,0.0225,0.2535,0.7202155816435432
Antwerp,Nagoya,1,0.0308,0.1165,0.5504099378881988
Antwerp,Nagoya,2,0.0198,0.3139,0.7688794848206072
Antwerp,Nagoya,3,0.014,0.476,0.8566223422207223
Antwerp,Nagoya,4,0.014,0.477,0.8566223422207223
Antwerp,Nagoya,5,0.0259,0.187,0.6580646864686469
Antwerp,Nagoya,6,0.0437,0.0261,0.30651655629139074
Antwerp,Nagoya,7,0.009,0.6461,0.9173098666666666
Antwerp,Nagoya,8,-0.0026,0.8966,0.9816653632434656
Antwerp,Nagoya,9,-0.0084,0.6707,0.9261711618257261
Antwerp,Nagoya,10,-0.0431,0.0285,0.323974358974359
Antwerp,Nagoya,11,-0.0373,0.0578,0.4439657631954351
Antwerp,Nagoya,12,0.0089,0.6518,0.9183082209886334
Antwerp,Nagoya,13,0.0089,0.653,0.9183082209886334
Antwerp,Nagoya,14,0.0204,0.3006,0.7597111638954869
Antwerp,Ningbo,1,-0.0158,0.4215,0.8271412762818147
Antwerp,Ningbo,2,-0.033,0.0935,0.5084979919678715
Antwerp,Ningbo,3,-0.0101,0.6057,0.9076969014084508
Antwerp,Ningbo,4,-0.0102,0.6047,0.9071147448548068
Antwerp,Ningbo,5,0.0131,0.5055,0.8730256410256412
Antwerp,Ningbo,6,-0.0094,0.6316,0.9158847199564981
Antwerp,Ningbo,7,-0.0152,0.4397,0.8369245080500894
Antwerp,Ningbo,8,-0.0038,0.8488,0.9761573373676248
Antwerp,Ningbo,9,-0.0038,0.8476,0.9757170056252704
Antwerp,Ningbo,10,0.0191,0.3306,0.7820972043010752
Antwerp,Ningbo,11,0.0076,0.698,0.9308338745940545
