port_a,port_b,lag,corr,pval,pval_corrected
Shanghai (Pudong),Guangzhou (Nansha),1,0.0785,0.0001,0.004470588235294118
Qingdao,Busan,2,0.0782,0.0001,0.004470588235294118
Qingdao,Guangzhou (Nansha),7,0.0776,0.0001,0.004470588235294118
Mizushima,Nagoya,3,0.0771,0.0001,0.004470588235294118
Guangzhou (Nansha),Kobe,6,0.0769,0.0001,0.004470588235294118
Singapore,Rotterdam,14,0.0769,0.0001,0.004470588235294118
Ulsan,Nagoya,2,0.0763,0.0001,0.004470588235294118
Ulsan,Chiba,1,0.0756,0.0001,0.004470588235294118
Guangzhou (Nansha),Sakai-Semboku,13,0.0748,0.0001,0.004470588235294118
Gwangyang (Kwangyang),Antwerp,7,0.0747,0.0001,0.004470588235294118
Ulsan,Yokohama,1,0.0739,0.0002,0.008512
Rotterdam,Nagoya,8,0.0736,0.0002,0.008512
Nagoya,Sakai-Semboku,2,0.0728,0.0002,0.008512
Sakai-Semboku,Rotterdam,1,0.0723,0.0002,0.008512
Tianjin Xin Gang,Guangzhou (Nansha),7,0.072,0.0002,0.008512
Chiba,Kobe,3,0.0719,0.0002,0.008512
Yokohama,Sakai-Semboku,2,0.0711,0.0003,0.012372093023255813
Ningbo,Mizushima,14,0.071,0.0003,0.012372093023255813
Singapore,Guangzhou (Nansha),7,0.0705,0.0003,0.012372093023255813
Rotterdam,Mizushima,6,0.0702,0.0003,0.012372093023255813
Ningbo,Mizushima,2,0.0702,0.0004,0.016121212121212123
Rotterdam,Yokohama,6,0.0696,0.0004,0.016121212121212123
Gwangyang (Kwangyang),Sakai-Semboku,13,0.0694,0.0004,0.016121212121212123
Sakai-Semboku,Guangzhou (Nansha),1,0.0688,0.0005,0.019558823529411764
Antwerp,Guangzhou (Nansha),7,0.0686,0.0005,0.019558823529411764
Ningbo,Kobe,1,0.0686,0.0005,0.019558823529411764
Mizushima,Chiba,3,0.0682,0.0005,0.019558823529411764
Busan,Nagoya,2,0.0678,0.0006,0.0228
Ningbo,Chiba,1,0.0677,0.0006,0.0228
Gwangyang (Kwangyang),Busan,1,0.0672,0.0006,0.0228
Shanghai (Pudong),Nagoya,2,0.0672,0.0006,0.0228
Shanghai (Pudong),Ulsan,1,0.0669,0.0007,0.025861111111111112
Hong Kong,Kobe,6,0.0665,0.0007,0.025861111111111112
Ningbo,Port Klang,3,0.0662,0.0007,0.025861111111111112
Kaohsiung,Mizushima,12,0.0662,0.0008,0.028952380952380955
Kobe,Guangzhou (Nansha),8,0.0656,0.0008,0.028952380952380955
Mizushima,Sakai-Semboku,2,0.0656,0.0008,0.028952380952380955
Kobe,Guangzhou (Nansha),1,0.0652,0.0009,0.031920000000000004
Busan,Chiba,1,0.0651,0.0009,0.031920000000000004
Sakai-Semboku,Kobe,7,0.065,0.0009,0.031920000000000004
Guangzhou (Nansha),Hong Kong,14,0.0649,0.001,0.034102564102564105
Guangzhou (Nansha),Hong Kong,12,0.0649,0.001,0.034102564102564105
Singapore,Antwerp,7,0.0648,0.001,0.034102564102564105
Yokohama,Nagoya,3,0.0645,0.001,0.034102564102564105
Tianjin Xin Gang,Nagoya,4,0.0645,0.001,0.034102564102564105
Chiba,Sakai-Semboku,3,0.0645,0.001,0.034102564102564105
Chiba,Sakai-Semboku,14,0.0642,0.0011,0.036575
Ningbo,Mizushima,6,0.0642,0.0011,0.036575
Shanghai (Pudong),Yokohama,5,0.0642,0.0011,0.036575
Kobe,Nagoya,3,0.064,0.0011,0.036575
Gwangyang (Kwangyang),Nagoya,7,0.0638,0.0012,0.03916564417177914
Mizushima,Antwerp,8,0.0637,0.0012,0.03916564417177914
Guangzhou (Nansha),Singapore,7,0.0634,0.0012,0.03916564417177914
Gwangyang (Kwangyang),Nagoya,1,0.0628,0.0014,0.04407100591715976
Ningbo,Yokohama,2,0.0628,0.0014,0.04407100591715976
Antwerp,Guangzhou (Nansha),14,0.0627,0.0014,0.04407100591715976
Shanghai (Pudong),Sakai-Semboku,14,0.0626,0.0015,0.0463953488372093
Shanghai (Pudong),Guangzhou (Nansha),2,0.0625,0.0014,0.04407100591715976
Mizushima,Chiba,4,0.0625,0.0015,0.0463953488372093
Ningbo,Chiba,2,0.0622,0.0015,0.0463953488372093
Guangzhou (Nansha),Rotterdam,7,0.0621,0.0016,0.04864
Qingdao,Chiba,1,0.0619,0.0016,0.04864
Ningbo,Gwangyang (Kwangyang),1,0.0618,0.0016,0.04864
